"id";"cond1";"cond2";"cond_q";"expec";"q2";"exp2";"q3";"exp3";"q4";"exp4";"q5";"exp5";"list.id";"list.X0iag69rtodu334o9o79qju9g32";"list.ip";"list.X77.191.48.140";"list.time.s.";"list.X16.377.461.064.498";"list.data";"list.submit";"list.Ich.m√.chte.an.dem.Experiment.teilnehmen.";"list.X";"list.X.1";"list.X.2";"list.X.3";"list.X.4";"list.X.5";"list.X.6";"list.X.7";"list.X.8";"list.X.9";"list.X.10";"list.X.11";"list.X.12";"list.X.13";"list.X.14";"list.X.15";"list.X.16";"list.X.17";"list.X.18";"list.X.19";"list.X.20";"list.X.21"
"0iag69rtodu334o9o79qju9g32";"<id:prolificID>";"<id:prolificID>";"60aa4c26dd5d8157a8027438";"<id:age>";"19";"<id:sex>";"male";"<id:edu>";"Abitur";"<id:natLang>";"deutsch";"weiter";id;0iag69rtodu334o9o79qju9g32;ip;77.191.48.140;time(s);16.377.468.331.899;data;<id:prolificID>;<id:prolificID>;prolificID;60aa4c26dd5d8157a8027438;<id:age>;<id:age>;age;19;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Abitur;<id:natLang>;<id:natLang>;natLang;deutsch;submit;weiter;;
"0iag69rtodu334o9o79qju9g32";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;0iag69rtodu334o9o79qju9g32;ip;77.191.48.140;time(s);16.377.468.403.752;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"0s4ocmjfa52hecqqa6ralh1lq6";"<id:prolificID>";"<id:prolificID>";"6093c5dc39760514172dbe74";"<id:age>";"28";"<id:sex>";"female";"<id:edu>";"Bachelor";"<id:natLang>";"deutsch";"weiter";id;0s4ocmjfa52hecqqa6ralh1lq6;ip;95.90.203.43;time(s);16.377.452.418.145;data;<id:prolificID>;<id:prolificID>;prolificID;6093c5dc39760514172dbe74;<id:age>;<id:age>;age;28;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Bachelor;<id:natLang>;<id:natLang>;natLang;deutsch;submit;weiter;;
"0s4ocmjfa52hecqqa6ralh1lq6";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;0s4ocmjfa52hecqqa6ralh1lq6;ip;95.90.203.43;time(s);16.377.452.546.516;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"2hgtjn6743mh6vh9a41d2qsem1";"<id:prolificID>";"<id:prolificID>";"60f1669a6563dc71aaa5990b";"<id:age>";"28";"<id:sex>";"female";"<id:edu>";"Master";"<id:natLang>";"Deutsch";"weiter";id;2hgtjn6743mh6vh9a41d2qsem1;ip;89.242.213.230;time(s);16.377.476.963.363;data;<id:prolificID>;<id:prolificID>;prolificID;60f1669a6563dc71aaa5990b;<id:age>;<id:age>;age;28;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Master;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"2hgtjn6743mh6vh9a41d2qsem1";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;2hgtjn6743mh6vh9a41d2qsem1;ip;89.242.213.230;time(s);16.377.476.980.328;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"2jk604hc37m9vkptru23hrio74";"<id:prolificID>";"<id:prolificID>";"6154512eca877599f2bc9d9d";"<id:age>";"24";"<id:sex>";"female";"<id:edu>";"Abitur";"<id:natLang>";"deutsch";"weiter";id;2jk604hc37m9vkptru23hrio74;ip;81.14.235.180;time(s);16.377.475.085.370;data;<id:prolificID>;<id:prolificID>;prolificID;6154512eca877599f2bc9d9d;<id:age>;<id:age>;age;24;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Abitur;<id:natLang>;<id:natLang>;natLang;deutsch;submit;weiter;;
"2jk604hc37m9vkptru23hrio74";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;2jk604hc37m9vkptru23hrio74;ip;81.14.235.180;time(s);16.377.475.136.376;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"2r4s0ehqkdoscjj4lk4rlbrpr0";"<id:prolificID>";"<id:prolificID>";"5c9b3126a586fd00154d5440";"<id:age>";"33";"<id:sex>";"female";"<id:edu>";"Master";"<id:natLang>";"Deutsch";"weiter";id;2r4s0ehqkdoscjj4lk4rlbrpr0;ip;92.4.7.208;time(s);16.377.460.174.424;data;<id:prolificID>;<id:prolificID>;prolificID;5c9b3126a586fd00154d5440;<id:age>;<id:age>;age;33;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Master;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"2r4s0ehqkdoscjj4lk4rlbrpr0";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;2r4s0ehqkdoscjj4lk4rlbrpr0;ip;92.4.7.208;time(s);16.377.460.210.754;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"3026gvnis4cqkne9tb1cva17u3";"<id:prolificID>";"<id:prolificID>";"56cb572b73cd5b0006f79acd";"<id:age>";"27";"<id:sex>";"female";"<id:edu>";"Realschulabschluss";"<id:natLang>";"Deutsch";"weiter";id;3026gvnis4cqkne9tb1cva17u3;ip;95.90.172.98;time(s);16.377.476.274.887;data;<id:prolificID>;<id:prolificID>;prolificID;56cb572b73cd5b0006f79acd;<id:age>;<id:age>;age;27;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Realschulabschluss;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"3026gvnis4cqkne9tb1cva17u3";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;3026gvnis4cqkne9tb1cva17u3;ip;95.90.172.98;time(s);16.377.476.304.187;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"3qj8bgr9seisuc0m43bp1pa3f7";"<id:prolificID>";"<id:prolificID>";"5bf3199ebe7c7300017b710a";"<id:age>";"37";"<id:sex>";"male";"<id:edu>";"Abitur";"<id:natLang>";"deutsch";"weiter";id;3qj8bgr9seisuc0m43bp1pa3f7;ip;94.134.91.210;time(s);16.377.466.515.277;data;<id:prolificID>;<id:prolificID>;prolificID;5bf3199ebe7c7300017b710a;<id:age>;<id:age>;age;37;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Abitur;<id:natLang>;<id:natLang>;natLang;deutsch;submit;weiter;;
"3qj8bgr9seisuc0m43bp1pa3f7";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;3qj8bgr9seisuc0m43bp1pa3f7;ip;94.134.91.210;time(s);16.377.466.550.145;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"3uhr90kuc4bo4rk172kh4d2su0";"<id:prolificID>";"<id:prolificID>";"60fd4805b29f40b82bcd7b8e";"<id:age>";"19";"<id:sex>";"female";"<id:edu>";"Fachhochschulreife";"<id:natLang>";"Deutsch";"weiter";id;3uhr90kuc4bo4rk172kh4d2su0;ip;77.0.159.134;time(s);16.377.471.971.110;data;<id:prolificID>;<id:prolificID>;prolificID;60fd4805b29f40b82bcd7b8e;<id:age>;<id:age>;age;19;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Fachhochschulreife;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"3uhr90kuc4bo4rk172kh4d2su0";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;3uhr90kuc4bo4rk172kh4d2su0;ip;77.0.159.134;time(s);16.377.472.011.412;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"4rok3rh2od1t648oikmnimpea7";"<id:prolificID>";"<id:prolificID>";"5edf3984cb85cc1dc78502d5";"<id:age>";"26";"<id:sex>";"male";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";id;4rok3rh2od1t648oikmnimpea7;ip;178.203.147.231;time(s);16.377.476.789.732;data;<id:prolificID>;<id:prolificID>;prolificID;5edf3984cb85cc1dc78502d5;<id:age>;<id:age>;age;26;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Bachelor;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"4rok3rh2od1t648oikmnimpea7";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;4rok3rh2od1t648oikmnimpea7;ip;178.203.147.231;time(s);16.377.476.819.074;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"4u2fh3upvpv19cuhtv5glic5v5";"<id:prolificID>";"<id:prolificID>";"5f3a2bccf6fb65000b904abf";"<id:age>";"27";"<id:sex>";"male";"<id:edu>";"Mittlere Reife";"<id:natLang>";"Deutsch";"weiter";id;4u2fh3upvpv19cuhtv5glic5v5;ip;213.216.23.146;time(s);16.377.466.232.780;data;<id:prolificID>;<id:prolificID>;prolificID;5f3a2bccf6fb65000b904abf;<id:age>;<id:age>;age;27;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Mittlere Reife;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"4u2fh3upvpv19cuhtv5glic5v5";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;4u2fh3upvpv19cuhtv5glic5v5;ip;213.216.23.146;time(s);16.377.466.264.268;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"551u44521pgierr42jpf496ck6";"<id:prolificID>";"<id:prolificID>";"6155cd050ecfdefdfd225c7c";"<id:age>";"38";"<id:sex>";"male";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";id;551u44521pgierr42jpf496ck6;ip;84.46.91.174;time(s);16.377.456.281.161;data;<id:prolificID>;<id:prolificID>;prolificID;6155cd050ecfdefdfd225c7c;<id:age>;<id:age>;age;38;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Bachelor;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"551u44521pgierr42jpf496ck6";"feedback";"Spannende Studie, viel Erfolg dabei!";"";"";"";"";"";"";"";"";"";"";id;551u44521pgierr42jpf496ck6;ip;84.46.91.174;time(s);16.377.456.395.830;data;feedback;Spannende Studie, viel Erfolg dabei!;;;;;;;;;;;;;;;;;;;;;;
"6g6n9s01i9p4lhbdsef64jlko4";"<id:prolificID>";"<id:prolificID>";"601acb2067409b31ed73ed63";"<id:age>";"28";"<id:sex>";"female";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";id;6g6n9s01i9p4lhbdsef64jlko4;ip;95.222.30.47;time(s);16.377.473.707.249;data;<id:prolificID>;<id:prolificID>;prolificID;601acb2067409b31ed73ed63;<id:age>;<id:age>;age;28;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Bachelor;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"6g6n9s01i9p4lhbdsef64jlko4";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;6g6n9s01i9p4lhbdsef64jlko4;ip;95.222.30.47;time(s);16.377.473.720.982;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"7ckqhvtkr1kmasamose48u0ej1";"<id:prolificID>";"<id:prolificID>";"5e986435a93c9104ab935f20";"<id:age>";"32";"<id:sex>";"male";"<id:edu>";"Studium";"<id:natLang>";"Deutsch";"weiter";id;7ckqhvtkr1kmasamose48u0ej1;ip;213.196.237.206;time(s);16.377.466.152.113;data;<id:prolificID>;<id:prolificID>;prolificID;5e986435a93c9104ab935f20;<id:age>;<id:age>;age;32;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Studium;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"7ckqhvtkr1kmasamose48u0ej1";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;7ckqhvtkr1kmasamose48u0ej1;ip;213.196.237.206;time(s);16.377.466.178.485;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"81s8bmniice3gudc6klob82f35";"<id:prolificID>";"<id:prolificID>";"614fa98080cd46b53c95c755";"<id:age>";"57";"<id:sex>";"female";"<id:edu>";"College";"<id:natLang>";"Deutsch";"weiter";id;81s8bmniice3gudc6klob82f35;ip;161.65.225.119;time(s);16.377.462.097.135;data;<id:prolificID>;<id:prolificID>;prolificID;614fa98080cd46b53c95c755;<id:age>;<id:age>;age;57;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;College;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"81s8bmniice3gudc6klob82f35";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;81s8bmniice3gudc6klob82f35;ip;161.65.225.119;time(s);16.377.462.288.623;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"8vesmri85lve8du7f2isgk97p5";"<id:prolificID>";"<id:prolificID>";"616d743c2e8a5ce0050ab850";"<id:age>";"25";"<id:sex>";"female";"<id:edu>";"B.Sc.";"<id:natLang>";"Deutsch";"weiter";id;8vesmri85lve8du7f2isgk97p5;ip;95.90.245.218;time(s);16.377.475.310.021;data;<id:prolificID>;<id:prolificID>;prolificID;616d743c2e8a5ce0050ab850;<id:age>;<id:age>;age;25;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;B.Sc.;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"8vesmri85lve8du7f2isgk97p5";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;8vesmri85lve8du7f2isgk97p5;ip;95.90.245.218;time(s);16.377.475.327.996;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"amr97l6io9m4m717pm5ok6fc86";"<id:prolificID>";"<id:prolificID>";"613d6394af28c9206d1c558f";"<id:age>";"27";"<id:sex>";"male";"<id:edu>";"Abitur";"<id:natLang>";"Deutsch";"weiter";id;amr97l6io9m4m717pm5ok6fc86;ip;80.187.106.85;time(s);16.377.479.688.222;data;<id:prolificID>;<id:prolificID>;prolificID;613d6394af28c9206d1c558f;<id:age>;<id:age>;age;27;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Abitur;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"amr97l6io9m4m717pm5ok6fc86";"feedback";"Es war eine angenehme Studie";"";"";"";"";"";"";"";"";"";"";id;amr97l6io9m4m717pm5ok6fc86;ip;80.187.106.85;time(s);16.377.479.795.501;data;feedback;Es war eine angenehme Studie;;;;;;;;;;;;;;;;;;;;;;
"bft0am9hp692ctgkb0ljmgb0p3";"<id:prolificID>";"<id:prolificID>";"6157573b20ca65cc6e7064cc";"<id:age>";"41";"<id:sex>";"female";"<id:edu>";"Hochschulabschluss, Magister";"<id:natLang>";"Deutsch";"weiter";id;bft0am9hp692ctgkb0ljmgb0p3;ip;92.221.51.240;time(s);16.377.458.577.462;data;<id:prolificID>;<id:prolificID>;prolificID;6157573b20ca65cc6e7064cc;<id:age>;<id:age>;age;41;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Hochschulabschluss, Magister;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"bft0am9hp692ctgkb0ljmgb0p3";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;bft0am9hp692ctgkb0ljmgb0p3;ip;92.221.51.240;time(s);16.377.458.656.523;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"bidbn1cp7au9rcdqv4eq2tpig7";"<id:prolificID>";"<id:prolificID>";"58d4ebdec8677b0001a2107b";"<id:age>";"36";"<id:sex>";"male";"<id:edu>";"Fachabitur";"<id:natLang>";"deutsch,polnisch";"weiter";id;bidbn1cp7au9rcdqv4eq2tpig7;ip;95.91.197.21;time(s);16.377.480.030.461;data;<id:prolificID>;<id:prolificID>;prolificID;58d4ebdec8677b0001a2107b;<id:age>;<id:age>;age;36;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Fachabitur;<id:natLang>;<id:natLang>;natLang;deutsch,polnisch;submit;weiter;;
"bidbn1cp7au9rcdqv4eq2tpig7";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;bidbn1cp7au9rcdqv4eq2tpig7;ip;95.91.197.21;time(s);16.377.480.100.766;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"cu9f77f0qjn23sdp3n0jgtm6n6";"<id:prolificID>";"<id:prolificID>";"610706f34ac8148e62818385";"<id:age>";"23";"<id:sex>";"female";"<id:edu>";"BA";"<id:natLang>";"Deutsch";"weiter";id;cu9f77f0qjn23sdp3n0jgtm6n6;ip;213.174.230.161;time(s);16.377.483.497.846;data;<id:prolificID>;<id:prolificID>;prolificID;610706f34ac8148e62818385;<id:age>;<id:age>;age;23;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;BA;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"cu9f77f0qjn23sdp3n0jgtm6n6";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;cu9f77f0qjn23sdp3n0jgtm6n6;ip;213.174.230.161;time(s);16.377.483.528.825;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"e267o714nnfeld80nh13evr5q0";"<id:prolificID>";"<id:prolificID>";"60fc90839daf35cbbe1da422";"<id:age>";"19";"<id:sex>";"female";"<id:edu>";"Abitur";"<id:natLang>";"Deutsch";"weiter";id;e267o714nnfeld80nh13evr5q0;ip;93.235.39.120;time(s);16.377.470.009.580;data;<id:prolificID>;<id:prolificID>;prolificID;60fc90839daf35cbbe1da422;<id:age>;<id:age>;age;19;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Abitur;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"e267o714nnfeld80nh13evr5q0";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;e267o714nnfeld80nh13evr5q0;ip;93.235.39.120;time(s);16.377.470.119.007;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"gikagld2tdp27qolv66tl5fj46";"<id:prolificID>";"<id:prolificID>";"5b0d0f0ebd9c3100015655d9";"<id:age>";"52";"<id:sex>";"male";"<id:edu>";"betriebliche Ausbildung";"<id:natLang>";"deutsch";"weiter";id;gikagld2tdp27qolv66tl5fj46;ip;77.21.246.169;time(s);16.377.448.218.976;data;<id:prolificID>;<id:prolificID>;prolificID;5b0d0f0ebd9c3100015655d9;<id:age>;<id:age>;age;52;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;betriebliche Ausbildung;<id:natLang>;<id:natLang>;natLang;deutsch;submit;weiter;;
"gikagld2tdp27qolv66tl5fj46";"feedback";"Komplett sinnlose Fortsetzungen k√∂nnte man auch weglassen und dann weniger Fortsetzungen abieten. ";"";"";"";"";"";"";"";"";"";"";id;gikagld2tdp27qolv66tl5fj46;ip;77.21.246.169;time(s);16.377.448.766.331;data;feedback;Komplett sinnlose Fortsetzungen k√∂nnte man auch weglassen und dann weniger Fortsetzungen abieten. ;;;;;;;;;;;;;;;;;;;;;;
"hq5lo2ts1uupkmjhacioi14oo7";"<id:prolificID>";"<id:prolificID>";"5b9ec2a99624180001131869";"<id:age>";"34";"<id:sex>";"female";"<id:edu>";"Abitur";"<id:natLang>";"Deutsch";"weiter";id;hq5lo2ts1uupkmjhacioi14oo7;ip;86.62.8.178;time(s);16.377.468.725.456;data;<id:prolificID>;<id:prolificID>;prolificID;5b9ec2a99624180001131869;<id:age>;<id:age>;age;34;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Abitur;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"hq5lo2ts1uupkmjhacioi14oo7";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;hq5lo2ts1uupkmjhacioi14oo7;ip;86.62.8.178;time(s);16.377.468.749.667;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"hqieqanp7dkmsoslf4ivknfem0";"<id:prolificID>";"<id:prolificID>";"6153539dd7fa158bf72a28e9";"<id:age>";"38";"<id:sex>";"male";"<id:edu>";"Master";"<id:natLang>";"Deutsch";"weiter";id;hqieqanp7dkmsoslf4ivknfem0;ip;91.221.58.23;time(s);16.377.473.730.915;data;<id:prolificID>;<id:prolificID>;prolificID;6153539dd7fa158bf72a28e9;<id:age>;<id:age>;age;38;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Master;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"hqieqanp7dkmsoslf4ivknfem0";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;hqieqanp7dkmsoslf4ivknfem0;ip;91.221.58.23;time(s);16.377.473.765.359;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"i5a1f23r9rusmkuftaa1477vc6";"<id:prolificID>";"<id:prolificID>";"564f52ab9b124900107eb516";"<id:age>";"44";"<id:sex>";"male";"<id:edu>";"Diplom-Abschluss";"<id:natLang>";"Deutsch";"weiter";id;i5a1f23r9rusmkuftaa1477vc6;ip;31.185.203.238;time(s);16.377.467.490.507;data;<id:prolificID>;<id:prolificID>;prolificID;564f52ab9b124900107eb516;<id:age>;<id:age>;age;44;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Diplom-Abschluss;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"i5a1f23r9rusmkuftaa1477vc6";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;i5a1f23r9rusmkuftaa1477vc6;ip;31.185.203.238;time(s);16.377.467.523.313;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"kl5a7178bdmd74u752us1820d7";"<id:prolificID>";"<id:prolificID>";"615dfd1954be2c1b879d6e26";"<id:age>";"48";"<id:sex>";"male";"<id:edu>";"Schulische Berufsausbildung";"<id:natLang>";"Deutsch";"weiter";id;kl5a7178bdmd74u752us1820d7;ip;92.219.131.96;time(s);16.377.483.410.832;data;<id:prolificID>;<id:prolificID>;prolificID;615dfd1954be2c1b879d6e26;<id:age>;<id:age>;age;48;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Schulische Berufsausbildung;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"kl5a7178bdmd74u752us1820d7";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;kl5a7178bdmd74u752us1820d7;ip;92.219.131.96;time(s);16.377.483.934.485;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"l0g69ophopetji8r6jf4c0c1u2";"<id:prolificID>";"<id:prolificID>";"5dfcfc4bed7a680137547420";"<id:age>";"41";"<id:sex>";"male";"<id:edu>";"Berufsausbildung";"<id:natLang>";"Deutsch";"weiter";id;l0g69ophopetji8r6jf4c0c1u2;ip;146.0.191.67;time(s);16.377.470.732.076;data;<id:prolificID>;<id:prolificID>;prolificID;5dfcfc4bed7a680137547420;<id:age>;<id:age>;age;41;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Berufsausbildung;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"l0g69ophopetji8r6jf4c0c1u2";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;l0g69ophopetji8r6jf4c0c1u2;ip;146.0.191.67;time(s);16.377.470.758.837;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"m9vldljuccobe4qd8gf8t8du27";"<id:prolificID>";"<id:prolificID>";"6171d7b513cebe5597a0d31b";"<id:age>";"29";"<id:sex>";"male";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";id;m9vldljuccobe4qd8gf8t8du27;ip;88.130.158.203;time(s);16.377.479.275.374;data;<id:prolificID>;<id:prolificID>;prolificID;6171d7b513cebe5597a0d31b;<id:age>;<id:age>;age;29;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Bachelor;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"m9vldljuccobe4qd8gf8t8du27";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;m9vldljuccobe4qd8gf8t8du27;ip;88.130.158.203;time(s);16.377.479.322.786;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
